name,weight,italics,angular,artistic,attention-grabbing,attractive,bad,boring,calm,charming,clumsy,complex,cursive,delicate,disorderly,display,dramatic,formal,fresh,friendly,gentle,graceful,happy,italic,legible,modern,playful,pretentious,serif,sharp,sloppy,soft,strong,technical,thin,warm,wide
Buenard,700,,27.96,32.08,63.67,78.6,4.4,27.04,70.62,73.1,13.51,32.87,4.21,36.88,10.45,6.04,33.69,86.54,93.97,72.42,94.42,75.85,56.84,9.34,88.49,43.5,32.6,57.05,87.24,82.72,23.18,66.1,65.21,46.02,36.12,78.64,49.12
Cabin,600,i,56.16,33.78,55.5,65.05,18.24,29.96,77.81,73.99,18.05,26.17,4.23,41.55,21.46,6.76,37.61,78.01,92.57,81.92,90.46,70.42,56.18,91.73,96.83,54.19,31.31,39.29,9.63,66.34,43.5,73.79,61.99,33.31,38.7,70.89,47.1
Cabin Condensed,,,16.04,9.64,36.27,51.52,16.24,72.32,88.18,61.64,13.6,11.45,4.3,40.51,15.04,7.69,20.82,81.46,85.67,77.27,90.58,59.82,43.93,9.34,88.83,18.9,12.75,19,9.43,72.53,13.31,77.62,57.34,22.05,52.28,60.56,37.87
Cabin Condensed,500,,15.75,14.14,41.31,56.25,15.82,55.85,82.13,61.62,14.75,13.33,4.3,40.26,13.05,7.69,14.33,79.92,91.67,76.5,89.91,62.49,47.29,9.35,92.42,27.95,14.92,26.36,9.77,67.31,0,73.86,58.9,22.42,47.11,61.57,42.27
Cantarell,700,i,83.17,46.34,72.1,70.27,36.02,28.48,71.63,70.91,26.27,48.77,6.6,45.55,42.69,8.11,64.32,53.71,86.16,75.81,85.78,70.4,68.84,91.81,82.54,61.12,46.55,55.08,9.94,72.65,70.69,66.64,66.25,53.23,36.05,76.17,58.56
Cantora One,,,22.36,38.6,52.24,65.78,21.68,48.8,77.59,70.87,15.21,31.5,4.51,33.44,22.53,9.58,38.76,78.82,91.1,80.68,82.02,68.19,60.73,9.32,87.98,47.77,30.16,54.14,9.47,64.58,26.3,63.07,66.9,39.3,32.5,78.68,46.12
Cardo,,i,100,71.97,54.74,79.39,19.34,20.38,87.24,87.49,24.5,41.74,4.51,77.43,33.69,16,57.48,61.38,87.61,84.16,97.85,82,86.43,91.71,83.8,73.82,56.46,45.73,82.96,100,53.82,88.18,40.26,61.36,78.09,64.49,39.36
Chivo,,i,49.67,31.61,41.11,55.87,19.82,37.9,83.39,63.97,25.97,26.5,4.23,47.66,24.87,6.36,34.04,77.98,91.67,80.66,91.59,72.53,65.65,91.73,91.22,44.86,29.82,44.7,9.77,77.12,46.38,74.9,52.32,30.49,51.99,71.5,53.01
Clicker Script,,,69.03,78.92,47.78,50.53,64.01,32.94,71.84,74.63,59.21,90.12,82.91,69.57,83.53,18.44,83.98,37.05,73.08,75.5,82.77,63.87,64.25,91.25,32.33,71.52,72.15,58.32,10.7,58.78,74.04,91.53,6.72,54.41,87.1,46.63,21.88
Crimson Text,700,i,73.88,80.44,70.11,90.76,15.19,0,79.62,97.07,32.49,61.22,5.48,52.71,30.33,28.33,69.02,73.6,94.8,83.74,92.12,88.92,84.9,91.86,83.41,80.52,62.47,74.76,87.87,78.49,56.91,73.47,57.69,67.74,46.26,96.46,39.05
Crimson Text,600,,27.19,27.4,51.3,65.64,0,44.01,83.55,73.81,6.61,12.96,4.67,45.63,0,7.22,28.82,91.71,91.43,80.97,96.45,69.27,60.7,9.34,91.41,47.38,26.9,37.75,86.04,85.22,22.03,83.61,54.16,43.28,50.09,64.96,46.25
Damion,,,74.8,88.87,64.12,80.33,34.96,21.21,65.04,97.37,58.86,78.04,84.46,62.53,49.85,75.52,76.39,56.4,85.64,84.32,85.42,81.74,62.18,91.71,51.23,78.88,76.36,78.56,9.86,66.56,83.66,84.32,45.63,84.02,57.72,80.56,33.16
Dosis,300,,29.62,12.66,18.49,23.79,26.7,77.01,96,53.28,26.19,10.52,4.3,47.49,20.21,6.99,17.83,79.44,78.15,58.84,90.39,46.53,30.02,9.32,72.91,28.23,11.28,11.85,9.9,71.78,25.42,98.2,29.03,18.74,91.74,31.96,35.54
Eagle Lake,,,79.44,93.4,66.6,83.68,38.26,27.28,63.67,89.45,44.92,69.7,5.56,47.74,49.11,69.71,69.64,41.59,82.95,82.85,88.34,76.75,73.96,9.88,64.23,79.46,58.38,75.76,82.12,61.03,67.05,71.39,56.93,69.84,40.97,84.91,70.73
Economica,,i,72.56,45.13,27.68,36.24,45.27,66.5,81.98,62.51,36.69,45.7,4.23,51.21,33.04,6.32,39.89,52.09,70.88,61.35,82.79,41.31,26.85,91.73,60.7,62.96,38.85,26.83,8.83,64.45,62.64,87.24,36.47,36.2,74.29,17.98,23.23
Emblema One,,,55.74,63.92,76.04,65.15,48.73,54.5,50.15,69.36,66.03,74.25,4.75,33.62,56.38,23.11,73.58,37.41,80.38,65.38,73.27,73.14,42.34,91.69,57.71,79.31,65.07,75.49,80.02,51.67,57.93,39.68,79.96,58.93,14.53,89.08,64.95
Enriqueta,,,23.98,23.56,45.88,60.54,9.59,38.02,83.52,67.74,12.88,25.2,4.3,37.83,14.46,6.57,22.01,94.94,91.55,81.27,93.9,73.39,49.67,9.34,89.39,35.6,25.78,20.87,81.71,87.75,17.65,77.13,52.63,43.05,55.33,62.13,52.28
Fanwood Text,,,60.49,62,43.72,71.79,9.49,8.09,86.38,93.75,20.98,55.27,11.45,71.15,24.92,12.18,52.44,70.49,87.29,92.34,94,74.29,82.65,91.65,80.83,65.13,67.21,46.3,83.53,77.09,60.5,90.36,42.32,49.36,71.52,61.14,33.08
Fenix,,,32.96,26.82,35.24,56.56,9.47,30.33,87.62,63.78,4.22,22.59,4.3,44.21,12.04,11.39,28.66,88.82,93.07,77.17,94.87,65.98,48.32,9.35,83.04,42.91,29.21,22.07,81.16,87.34,21.83,80.54,49.27,38.99,58.8,65.14,43.54
Finger Paint,,,46.92,69.95,59.26,53.82,85.01,71.96,40.65,52.98,100,93.54,81.1,41.87,97.24,72.49,85.08,25.99,68.83,67.91,64.43,46.01,58.98,9.18,26.98,66.14,100,56.9,13.15,8.44,76.4,53.41,55.11,39.12,41.31,75.28,62.97
Francois One,,,16.64,11.14,57.5,52.4,25.2,42.86,70.09,55.98,29.46,31.87,4.3,27.24,16.9,12.95,27.01,77.96,85.97,59.25,84.56,51.7,51.29,9.31,84.52,38.83,24.98,52.15,9.06,57.71,13.39,51.86,78.73,43.06,26.88,73.45,45.9
Fredoka One,,,11.26,33.98,65.61,65.02,42.83,61.92,60.28,64.36,37.53,54.53,4.81,29.04,31.07,12.75,51.43,51.8,89.59,65.4,75.29,55.87,49.46,9.37,74.87,46.7,38.4,47.51,8.3,49.47,25.21,48.65,81.68,36.59,6.11,75.58,63.16
